Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
I4,Alcohol_1,Object,Pixabay,4.68518518518519,1.18911062459953,108,2.86538461538462,1.69555496718665,104,4.701754386,1.362310436,57,4.666666667,0.972967968,51,2.653061224,1.714533712,49,3.054545455,1.671306672,55,0.03508771899999985
I7,Alcohol_4,Object,Pixabay,4.76851851851852,1.17295442527236,108,2.86538461538462,1.64911092438503,104,4.736842105,1.203066258,57,4.803921569,1.149253807,51,2.775510204,1.661642086,49,2.945454545,1.648997247,55,0.06707946399999987
I44,Bar_1,Scene,Pixabay,4.90196078431373,1.18162334989673,102,3.45544554455446,1.6032763484518,101,5.068181818,1.02066388,44,4.775862069,1.284770489,58,3.744680851,1.594393508,47,3.173076923,1.605397194,52,0.2923197489999998
I80,Birthday_2,Person,Pixabay,5.32673267326733,1.17566075796625,101,3.37864077669903,1.59113047033079,103,5.086206897,1.218058316,58,5.651162791,1.043887444,43,3.306122449,1.516631158,49,3.433962264,1.681453515,53,0.5649558939999997
I102,Bungee_jumping_2,Person,Wikipedia,4.76470588235294,1.17882699364884,102,4.65346534653465,1.71718166519653,101,4.711111111,1.272474722,45,4.839285714,1.091733995,56,4.714285714,1.814295088,49,4.596153846,1.636107473,52,0.12817460299999972
I131,Cat_2,Animal,Pixabay,5.4950495049505,1.17152688723936,101,3.98058252427184,1.74884041427272,103,5.379310345,1.167206685,58,5.651162791,1.172781004,43,3.795918367,1.731805318,49,4.169811321,1.773044416,53,0.2718524459999996
I140,Cat_11,Animal,Pixabay,5.36633663366337,1.1808706303167,101,3.60194174757282,1.64101717514547,103,5.24137931,1.06475176,58,5.534883721,1.315635592,43,3.571428571,1.645701472,49,3.622641509,1.666715045,53,0.2935044109999998
I149,Cemetery_4,Scene,Pixabay,2.79411764705882,1.18854462375453,102,4.33663366336634,1.90933091800647,101,2.954545455,1.119687362,44,2.672413793,1.233849077,58,4.085106383,1.815749782,47,4.596153846,1.942906811,52,0.28213166199999984
I155,Child_labor_3,Person,Pixabay,4.08823529411765,1.17820925688072,102,3.5049504950495,1.58507894047103,101,4.088888889,1.378771229,45,4.071428571,1.006472559,56,3.408163265,1.731068641,49,3.596153846,1.445203227,52,0.017460317999999475
I166,Cockroach_1,Animal,Pixabay,2.05882352941176,1.17585889747351,102,4.34653465346535,2.1745603857532,101,2.068181818,0.974028491,44,2.051724138,1.316859819,58,3.744680851,2.131218116,47,5,2.019512657,52,0.016457679999999808
I194,Crow_2,Animal,Pixabay,4.40740740740741,1.18429786791357,108,2.66346153846154,1.43202332873467,104,4.456140351,1.166039932,57,4.352941176,1.21364788,51,2.428571429,1.38443731,49,2.872727273,1.453661347,55,0.10319917500000031
I201,Dancing_3,Person,Pixabay,4.88235294117647,1.21291823569291,102,3.85148514851485,1.64551595928974,101,4.659090909,1.140036348,44,5.051724138,1.24847154,58,3.744680851,1.35883718,47,4.019230769,1.852294651,52,0.3926332290000003
I229,Destruction_6,Scene,Pixabay,2.00990099009901,1.18739251728273,101,4.09708737864078,2.13061053160547,103,2.155172414,1.295088213,58,1.813953488,1.006072372,43,4.1632653060000004,2.044779315,49,4.018867925,2.240283001,53,0.34121892600000003
I245,Doctor_4,Person,Pixabay,3.81188118811881,1.1976048704571,101,3.88349514563107,1.82735730578763,103,3.827586207,1.24446749,58,3.790697674,1.145553298,43,3.897959184,1.794028265,49,3.886792453,1.887819024,53,0.036888532999999946
I250,Doctor_9,Person,Pixabay,3.67647058823529,1.1953852248376,102,4.10891089108911,1.49600127071477,101,3.704545455,0.904241824,44,3.655172414,1.383508433,58,3.978723404,1.436925487,47,4.307692308,1.502135232,52,0.04937304099999995
I251,Dog_1,Animal,Pixabay,5.13861386138614,1.19188676450657,101,4.32038834951456,1.5668977232599,103,5.275862069,0.91369893,58,4.953488372,1.479277307,43,4.183673469,1.55018103,49,4.471698113,1.588465316,53,0.3223736970000006
I259,Dog_9,Animal,Public Domain Photos,4.12745098039216,1.19960033466143,102,4.05940594059406,1.74253712831732,101,4.113636364,1.125102767,44,4.137931034,1.262804952,58,3.765957447,1.5352774280000001,47,4.307692308,1.894661867,52,0.02429466999999974
I278,Dog_28,Animal,Flickr/wplynn,5.59259259259259,1.18429786791357,108,3.55769230769231,1.78900049697944,104,5.385964912,1.114104156,57,5.823529412,1.228102314,51,3.489795918,1.733523014,49,3.618181818,1.850834738,55,0.4375644999999997
I301,Exercise_3,Person,Pixabay,4.83333333333333,1.1864193015439,102,4.2970297029703,1.57825571093816,101,4.711111111,1.160372633,45,4.964285714,1.190328995,56,4.183673469,1.716020947,49,4.403846154,1.445203227,52,0.2531746029999997
I317,Ferret_1,Animal,Pixabay,2.80392156862745,1.19436975953868,102,4.48514851485149,1.90585341191886,101,2.704545455,0.794736916,44,2.879310345,1.427518841,58,4.14893617,1.966885901,47,4.903846154,1.72932737,52,0.17476489000000006
I318,Fire_1,Person,Pixabay,4.40740740740741,1.21545374041335,108,4.35576923076923,1.70047548593544,104,4.578947368,1.209299804,57,4.215686275,1.205217416,51,3.897959184,1.710809968,49,4.763636364,1.598189211,55,0.3632610929999993
I360,Football_player_1,Person,Pixabay,4.76851851851852,1.19661892435359,108,3.57692307692308,1.59302062525003,104,4.894736842,1.291237094,57,4.62745098,1.076304498,51,3.326530612,1.700340102,49,3.8,1.470701521,55,0.2672858620000005
I361,Frisbee_1,Person,Pixabay,5.58823529411765,1.17188974219032,102,3.21782178217822,1.55951249046643,101,5.488888889,1.057918673,45,5.642857143,1.256670513,56,3.265306122,1.591324268,49,3.173076923,1.543120773,52,0.15396825399999958
I370,Funeral_1,Scene,Pixabay,2.92156862745098,1.18310109801104,102,4.23762376237624,1.89287355547847,101,2.777777778,1.203949729,45,3.071428571,1.1418827010000001,56,4.102040816,1.917516818,49,4.365384615,1.878973919,52,0.2936507930000003
I371,Galaxy_1,Scene,Pixabay,5.59803921568627,1.17952670422151,102,4.08910891089109,1.9651921529509,101,5.711111111,1.17979625,45,5.535714286,1.174955097,56,4.265306122,1.923273145,49,3.923076923,2.008278493,52,0.17539682499999998
I376,Galaxy_6,Scene,Pixabay,5.34313725490196,1.20637824749291,102,4.16831683168317,1.78364406163726,101,5.363636364,1.013648925,44,5.327586207,1.342790117,58,4.063829787,1.566000935,47,4.211538462,1.983624514,52,0.03605015700000003
I385,Garbage_dump_7,Scene,Pixabay,2.73529411764706,1.17672536554017,102,2.47524752475248,1.60370857331337,101,2.8,1.272077756,45,2.714285714,1.090692619,56,2.448979592,1.608068516,49,2.5,1.614881772,52,0.08571428599999997
I422,Hang_gliding_1,Person,Wikipedia,5.05555555555556,1.19838936562834,108,4.34615384615385,1.78868737883633,104,5.175438596,1.324532357,57,4.921568627,1.036207262,51,4.081632653,1.765841805,49,4.581818182,1.791863391,55,0.25386996900000014
I444,Jail_3,Scene,Pixabay,2.51960784313725,1.19180694958806,102,3.9009900990099,1.85744421447886,101,2.681818182,1.094865974,44,2.396551724,1.25571892,58,3.574468085,1.728843303,47,4.230769231,1.956541412,52,0.28526645800000017
I453,Knife_1,Object,Pixabay,3.24509803921569,1.21407810039449,102,3.62376237623762,1.70793141049935,101,3.422222222,1.389716925,45,3.125,1.045553355,56,3.673469388,1.700340102,49,3.576923077,1.730308301,52,0.2972222219999998
I474,Lightning_1,Scene,Pixabay,4.85294117647059,1.17226242139904,102,4.52475247524752,1.62230736548868,101,4.909090909,1.03019939,44,4.810344828,1.276740595,58,4.574468085,1.470650268,47,4.480769231,1.765579221,52,0.09874608099999982
I480,Lightning_7,Scene,Wikipedia,4.43564356435644,1.19512209906903,101,4.46601941747573,1.67341106362261,103,4.344827586,1.13248251,58,4.558139535,1.278062626,43,4.448979592,1.608068516,49,4.471698113,1.760722902,53,0.2133119489999995
I488,Meerkat_1,Animal,Pixabay,4.9537037037037,1.17913527050732,108,3.34615384615385,1.64741180219291,104,4.929824561,1.099669579,57,4.980392157,1.272638143,51,3.163265306,1.598787806,49,3.509090909,1.687346451,55,0.050567595999999604
I504,Moon_1,Scene,Pixabay,5.27450980392157,1.17866229550013,102,3.61386138613861,1.8109130129838,101,5.159090909,1.033017297,44,5.362068966,1.280053122,58,3.617021277,1.701063497,47,3.653846154,1.918788582,52,0.20297805700000016
I527,Nude_couple_1,Person,Wikipedia,5.42156862745098,1.2058953742591,102,4.99009900990099,1.33787181377702,101,5.288888889,1.290211791,45,5.535714286,1.143587429,56,5.040816327,1.413612153,49,4.942307692,1.274385073,52,0.24682539700000028
I545,Nude_man_6,Person,Flickr/sea turtle,4,1.19404462825199,102,3.52475247524752,1.72970552063605,101,4.022727273,1.229267817,44,3.982758621,1.177141636,58,3.276595745,1.849819353,47,3.769230769,1.579468571,52,0.039968652000000215
I592,Orangutan_1,Animal,Pixabay,4.94117647058824,1.20085389925739,102,3.57425742574257,1.68134787984798,101,4.863636364,0.851562424,44,5,1.414213562,58,3.212765957,1.573367618,47,3.961538462,1.703071487,52,0.13636363599999957
I606,Parachuting_3,Person,Wikipedia,5.38613861386139,1.20805874881732,101,4.78640776699029,1.74698892460261,103,5.206896552,1.072112535,58,5.627906977,1.345596979,43,4.530612245,1.768969107,49,5.018867925,1.726385353,53,0.4210104250000004
I610,Parasailing_2,Person,Pixabay,5.12871287128713,1.19719143278453,101,4.3495145631068,1.74731580063215,103,5.120689655,1.125113424,58,5.139534884,1.301672831,43,4.244897959,1.601179412,49,4.471698113,1.887242327,53,0.018845229000000074
I622,Picnic_3,Person,Pixabay,4.5462962962963,1.18703478253142,108,3.26923076923077,1.66768701651823,104,4.578947368,1.194442016,57,4.509803922,1.189496516,51,2.836734694,1.650087608,49,3.654545455,1.60113596,55,0.069143446
I637,Plane_crash_2,Scene,Pixabay,2.81372549019608,1.19180694958806,102,3.87128712871287,1.68323121606411,101,3.066666667,1.321156518,45,2.642857143,1.034470816,56,3.857142857,1.755942292,49,3.884615385,1.628831485,52,0.4238095239999997
I642,Police_3,Person,Pixabay,4.28703703703704,1.21556052933805,108,3.39423076923077,1.68614150917026,104,4.210526316,1.359317609,57,4.37254902,1.038475504,51,3.142857143,1.732050808,49,3.618181818,1.627209712,55,0.16202270399999996
